,city,population
0,Alabama,"5,024,279"
1,Alaska,"733,391"
2,Arizona,"113,990"
3,Arkansas,"53,179"
4,California,"39,538,223"
5,Colorado,"104,094"
6,Connecticut,"3,605,944"
7,Delaware,"989,948"
8,Florida,"21,538,187"
9,Georgia,"59,425"
10,Hawaii,"10,932"
11,Idaho,"83,569"
12,Illinois,"12,812,508"
13,Indiana,"36,420"
14,Iowa,"56,273"
15,Kansas,"2,937,880"
16,Kentucky,"4,505,836"
17,Louisiana,"4,657,757"
18,Maine,"1,362,359"
19,Maryland,"6,177,224"
20,Massachusetts,"10,554"
21,Michigan,"10,077,331"
22,Minnesota,"5,706,494"
23,Mississippi,"48,432"
24,Missouri,"6,154,913"
25,Montana,"1,084,225"
26,Nebraska,"1,961,504"
27,Nevada,"3,104,614"
28,New Hampshire,"1,377,529"
29,New Jersey,"9,288,994"
30,New Mexico,"2,117,522"
31,New York,"20,201,249"
32,North Carolina,"10,439,388"
33,North Dakota,"779,094"
34,Ohio,"44,826"
35,Oklahoma,"69,899"
36,Oregon,"4,237,256"
37,Pennsylvania,"13,002,700"
38,Rhode Island,"1,545"
39,South Carolina,"5,118,425"
40,South Dakota,"886,667"
41,Tennessee,"42,144"
42,Texas,"29,145,505"
43,Utah,"84,897"
44,Vermont,"643,077"
45,Virginia,"8,631,393"
46,Washington,"7,705,281"
47,West Virginia,"24,230"
48,Wisconsin,"5,893,718"
49,Wyoming,"97,813"
